Edad,Ingresos mensuales,Dependientes,Porcentaje de endeudamiento,Situación Laboral,Nivel Educativo,Estado Civil,Puntaje de Crédito,Incumplimientos Previos,Monto del Préstamo,Provincias,Calificación de Riesgo
64,5814.416666666667,0.0,,Desempleado,Universitario,Soltero,699.0,0.0,27544.0,Huesca,Bajo
35,3565.583333333333,4.0,0.3493818215813214,Empleado,Universitario,Divorciado,699.0,2.0,14949.0,Ávila,Bajo
18,5814.416666666667,0.0,0.2081320854771903,Desempleado,Universitario,Divorciado,748.0,1.0,14522.0,Teruel,Bajo
21,6162.666666666667,0.0,0.6696911510168758,Desempleado,Universitario,Viudo,631.0,1.0,49525.0,Soria,Bajo
67,4520.583333333333,3.0,0.0923737718214832,Desempleado,Universitario,Divorciado,699.0,0.0,5011.0,Palencia,Bajo
30,4966.083333333333,3.0,,Desempleado,Universitario,Divorciado,691.0,2.0,27544.0,Melilla,Bajo
28,5769.75,1.0,0.6773545936421278,Empleado,Universitario,Casado,699.0,3.0,46898.0,Ceuta,Bajo
68,4941.666666666667,0.0,0.5865598650927487,Empleado,Universitario,Soltero,699.0,0.0,34783.0,Barcelona,Bajo
59,6852.75,1.0,0.5514209623873627,Autónomo,Universitario,Casado,699.0,4.0,45345.0,Valencia,Bajo
64,5814.416666666667,2.0,,Empleado,Universitario,Casado,763.0,1.0,27544.0,Alicante,Bajo
27,7810.666666666667,1.0,,Desempleado,Universitario,Casado,727.0,0.0,27544.0,Vizcaya,Bajo
36,2489.0,2.0,0.4192111959287531,Empleado,Universitario,Divorciado,635.0,4.0,12521.0,Pontevedra,Bajo
36,5731.333333333333,0.0,0.6936576712806793,Desempleado,Universitario,Casado,612.0,1.0,47707.0,Granada,Bajo
54,8222.416666666666,0.0,0.1972656052052823,Desempleado,Universitario,Casado,720.0,1.0,19464.0,Tarragona,Alto
19,9378.75,0.0,0.1377493447065618,Desempleado,Universitario,Soltero,712.0,4.0,15503.0,Córdoba,Bajo
39,9893.083333333334,1.0,0.0897596805849204,Autónomo,Universitario,Viudo,647.0,0.0,10656.0,Girona,Bajo
55,5326.25,2.0,0.1577720409919424,Empleado,Universitario,Divorciado,699.0,1.0,10084.0,Navarra,Alto
34,5587.166666666667,0.0,0.175297556901232,Desempleado,Universitario,Viudo,699.0,0.0,11753.0,Jaén,Bajo
65,8877.166666666666,4.0,0.2174210990744043,Empleado,Universitario,Divorciado,650.0,0.0,23161.0,Castellón,Bajo
68,5814.416666666667,4.0,0.3415934530549066,Empleado,Universitario,Casado,700.0,2.0,23834.0,Huelva,Bajo
20,5814.416666666667,3.0,0.2333710747710432,Autónomo,Universitario,Viudo,692.0,1.0,16283.0,Islas Baleares,Bajo
62,2588.583333333333,1.0,,Autónomo,Universitario,Soltero,793.0,0.0,27544.0,Santa Cruz de Tenerife,Bajo
35,5814.416666666667,2.0,0.1409284393676637,Autónomo,Secundario,Casado,699.0,0.0,9833.0,Álava,Alto
66,5814.416666666667,2.0,0.3438722715090364,Autónomo,Universitario,Soltero,699.0,0.0,23993.0,León,Bajo
50,4675.666666666667,2.0,,Autónomo,Universitario,Soltero,796.0,3.0,27544.0,Ciudad Real,Alto
31,5802.083333333333,0.0,0.2181400359066427,Desempleado,Universitario,Casado,636.0,1.0,15188.0,Lugo,Bajo
38,6841.083333333333,2.0,0.2491564445202392,Autónomo,Universitario,Divorciado,726.0,0.0,20454.0,Cáceres,Alto
39,8334.583333333334,0.0,0.23110533419987,Desempleado,Universitario,Viudo,615.0,3.0,23114.0,Ourense,Bajo
50,8024.416666666667,4.0,0.2238168921936174,Empleado,Universitario,Divorciado,708.0,0.0,21552.0,Guadalajara,Bajo
49,2556.6666666666665,0.0,0.8096479791395046,Autónomo,Universitario,Soltero,699.0,3.0,24840.0,Burgos,Bajo
24,5814.416666666667,3.0,,Autónomo,Universitario,Soltero,627.0,4.0,27544.0,Salamanca,Bajo
38,4005.75,2.0,0.3711539661736254,Desempleado,Universitario,Soltero,670.0,0.0,17841.0,Cantabria,Bajo
28,4741.25,2.0,,Autónomo,Secundario,Casado,699.0,1.0,27544.0,La Rioja,Bajo
35,6036.083333333333,0.0,0.0793422887357972,Autónomo,Universitario,Casado,792.0,3.0,5747.0,Albacete,Bajo
56,5814.416666666667,1.0,0.5806830722485775,Autónomo,Universitario,Soltero,734.0,3.0,40516.0,Segovia,Bajo
22,5438.833333333333,4.0,0.5323752030153526,Desempleado,Universitario,Viudo,617.0,1.0,34746.0,Ávila,Bajo
40,8214.833333333334,0.0,0.088731765708373,Autónomo,Universitario,Viudo,663.0,0.0,8747.0,Teruel,Bajo
39,7518.916666666667,1.0,0.2003723940727276,Empleado,Secundario,Casado,770.0,0.0,18079.0,Soria,Bajo
31,8923.416666666666,2.0,0.1690402592430029,Empleado,Secundario,Divorciado,740.0,1.0,18101.0,Palencia,Bajo
45,6906.5,4.0,0.2053982962909336,Autónomo,Secundario,Viudo,748.0,4.0,17023.0,Zamora,Bajo
62,3869.9166666666665,0.0,,Empleado,Universitario,Viudo,645.0,0.0,27544.0,Melilla,Bajo
34,3673.75,2.0,,Desempleado,Secundario,Viudo,687.0,0.0,27544.0,Ceuta,Bajo
19,2984.75,1.0,1.240360722561912,Desempleado,Secundario,Casado,731.0,0.0,44426.0,Madrid,Bajo
36,5425.333333333333,4.0,0.6798353403784714,Empleado,Secundario,Casado,699.0,2.0,44260.0,Valencia,Bajo
23,2408.833333333333,2.0,0.8486819345464609,Desempleado,Universitario,Soltero,724.0,0.0,24532.0,Alicante,Bajo
22,8730.5,3.0,0.1538380772387988,Desempleado,Universitario,Viudo,764.0,3.0,16117.0,Málaga,Bajo
41,6629.666666666667,0.0,0.0658027050128211,Empleado,Universitario,Viudo,742.0,4.0,5235.0,Murcia,Bajo
31,8761.75,3.0,0.3900096061479347,Autónomo,Universitario,Viudo,699.0,1.0,41006.0,Vizcaya,Bajo
58,1745.5833333333333,4.0,1.8501933451090848,Desempleado,Secundario,Viudo,776.0,0.0,38756.0,A Coruña,Bajo
44,2524.583333333333,0.0,,Desempleado,Secundario,Divorciado,686.0,0.0,27544.0,Córdoba,Bajo
33,5814.416666666667,1.0,0.6861393375661072,Empleado,Universitario,Soltero,624.0,0.0,47874.0,Almería,Bajo
40,6988.75,3.0,0.1895427174625887,Desempleado,Universitario,Casado,663.0,0.0,15896.0,Toledo,Bajo
53,4269.666666666667,1.0,0.6088687641502069,Autónomo,Secundario,Casado,718.0,0.0,31196.0,Badajoz,Bajo
18,5814.416666666667,0.0,0.2673383687099594,Autónomo,Universitario,Soltero,651.0,3.0,18653.0,Navarra,Alto
36,8488.583333333334,3.0,0.305626184188567,Empleado,Universitario,Divorciado,688.0,0.0,31132.0,Castellón,Bajo
67,8947.166666666666,4.0,0.1877130562747983,Empleado,Universitario,Viudo,655.0,4.0,20154.0,Huelva,Bajo
62,8487.333333333334,0.0,0.4480696724530673,Autónomo,Universitario,Viudo,699.0,0.0,45635.0,Valladolid,Alto
60,6169.166666666667,2.0,0.127772524652168,Desempleado,Universitario,Casado,711.0,0.0,9459.0,Islas Baleares,Bajo
59,8649.5,0.0,0.0894849413260882,Desempleado,Universitario,Soltero,699.0,2.0,9288.0,Santa Cruz de Tenerife,Bajo
50,6608.333333333333,0.0,0.3400126103404792,Empleado,Universitario,Casado,697.0,0.0,26963.0,Álava,Bajo
64,8487.916666666666,3.0,0.4769918020715723,Autónomo,Universitario,Soltero,686.0,3.0,48584.0,León,Bajo
40,7461.25,0.0,0.1450829284637292,Desempleado,Universitario,Soltero,624.0,3.0,12990.0,Ciudad Real,Bajo
18,8944.083333333334,4.0,0.2114433191402137,Autónomo,Universitario,Divorciado,735.0,0.0,22694.0,Lugo,Bajo
42,5087.333333333333,1.0,0.2888055300746953,Empleado,Universitario,Viudo,699.0,3.0,17631.0,Cáceres,Bajo
39,8301.833333333334,4.0,0.2324586938628013,Empleado,Secundario,Viudo,720.0,2.0,23158.0,Ourense,Bajo
28,5378.416666666667,4.0,0.3101439395113184,Autónomo,Universitario,Soltero,703.0,1.0,20017.0,Burgos,Alto
53,2217.75,2.0,0.2623529853830834,Empleado,Universitario,Soltero,771.0,0.0,6982.0,Salamanca,Bajo
40,5814.416666666667,0.0,0.596204835681424,Desempleado,Universitario,Divorciado,721.0,1.0,41599.0,Asturias,Bajo
31,4240.416666666667,4.0,0.3594969047853001,Desempleado,Universitario,Viudo,669.0,3.0,18293.0,Cantabria,Bajo
20,7628.333333333333,0.0,,Empleado,Universitario,Viudo,760.0,0.0,27544.0,Huesca,Bajo
36,3690.25,4.0,0.9558069688142176,Autónomo,Universitario,Divorciado,755.0,0.0,42326.0,Teruel,Bajo
59,5032.083333333333,4.0,0.5127266705307609,Autónomo,Secundario,Soltero,743.0,2.0,30961.0,Soria,Bajo
36,5824.583333333333,2.0,0.1878818227341011,Desempleado,Universitario,Soltero,680.0,0.0,13132.0,Melilla,Bajo
60,5129.916666666667,1.0,0.14681849932585,Desempleado,Secundario,Divorciado,623.0,0.0,9038.0,Ceuta,Bajo
63,3342.75,3.0,0.1257447710218632,Empleado,Secundario,Soltero,722.0,0.0,5044.0,Madrid,Bajo
43,2483.083333333333,4.0,0.3570829278115247,Autónomo,Universitario,Soltero,727.0,3.0,10640.0,Barcelona,Bajo
62,9660.25,1.0,0.3226797098073721,Autónomo,Universitario,Divorciado,726.0,2.0,37406.0,Sevilla,Alto
39,9805.083333333334,2.0,0.075437060708306,Desempleado,Secundario,Soltero,763.0,2.0,8876.0,Alicante,Bajo
22,5811.5,1.0,0.2290573288594453,Autónomo,Secundario,Viudo,727.0,0.0,15974.0,Málaga,Bajo
37,6399.583333333333,4.0,0.4356273194869458,Autónomo,Universitario,Divorciado,645.0,3.0,33454.0,Cádiz,Bajo
58,5752.416666666667,4.0,0.5757290414173754,Desempleado,Universitario,Soltero,699.0,4.0,39742.0,Vizcaya,Bajo
47,5455.25,4.0,,Desempleado,Universitario,Casado,710.0,4.0,27544.0,A Coruña,Bajo
58,5814.416666666667,3.0,0.5002364811603343,Autónomo,Universitario,Soltero,791.0,0.0,34903.0,Zaragoza,Bajo
51,3380.083333333333,0.0,1.053277779147457,Desempleado,Universitario,Casado,632.0,0.0,42722.0,Pontevedra,Bajo
27,5102.666666666667,2.0,0.7597661353540632,Desempleado,Secundario,Viudo,643.0,2.0,46522.0,Tarragona,Bajo
56,5814.416666666667,2.0,0.6067246642684133,Empleado,Universitario,Viudo,728.0,3.0,42333.0,Girona,Bajo
34,9889.916666666666,0.0,0.3439782943907515,Empleado,Secundario,Viudo,731.0,0.0,40823.0,Almería,Bajo
65,7427.166666666667,1.0,0.4346767497699885,Empleado,Universitario,Soltero,643.0,4.0,38741.0,Toledo,Alto
34,2933.1666666666665,0.0,,Desempleado,Universitario,Divorciado,718.0,3.0,27544.0,Badajoz,Bajo
66,8723.083333333334,4.0,0.2348940072795361,Desempleado,Universitario,Viudo,784.0,4.0,24588.0,Navarra,Bajo
30,5814.416666666667,0.0,0.4236452495951155,Desempleado,Universitario,Soltero,699.0,0.0,29559.0,Jaén,Bajo
27,6710.25,3.0,0.1619785651304596,Empleado,Universitario,Divorciado,604.0,4.0,13043.0,Huelva,Bajo
61,5814.416666666667,3.0,0.4268556604990469,Empleado,Universitario,Divorciado,604.0,1.0,29783.0,Islas Baleares,Alto
67,5814.416666666667,0.0,0.6668625399509839,Autónomo,Universitario,Divorciado,750.0,0.0,46529.0,Las Palmas,Bajo
32,7638.0,4.0,,Autónomo,Universitario,Casado,661.0,0.0,27544.0,Santa Cruz de Tenerife,Alto
46,6774.083333333333,3.0,,Empleado,Universitario,Divorciado,722.0,3.0,27544.0,León,Bajo
35,5814.416666666667,0.0,0.2190818798102418,Empleado,Universitario,Viudo,711.0,2.0,15286.0,Lugo,Bajo
37,1748.9166666666667,3.0,0.3831895935579168,Empleado,Universitario,Soltero,640.0,1.0,8042.0,Cáceres,Bajo
24,5156.333333333333,2.0,0.1142607796237636,Desempleado,Universitario,Viudo,791.0,0.0,7070.0,Ourense,Bajo
31,9037.833333333334,0.0,0.3093661828978184,Desempleado,Universitario,Viudo,716.0,2.0,33552.0,Guadalajara,Alto
25,5814.416666666667,2.0,,Autónomo,Universitario,Viudo,753.0,3.0,27544.0,Burgos,Bajo
18,7278.833333333333,3.0,0.307546997000435,Empleado,Universitario,Soltero,699.0,3.0,26863.0,Salamanca,Bajo
43,5814.416666666667,0.0,0.1730038840239061,Empleado,Universitario,Divorciado,705.0,2.0,12071.0,Cantabria,Bajo
53,2611.6666666666665,2.0,0.2133694958519464,Autónomo,Secundario,Casado,790.0,0.0,6687.0,La Rioja,Bajo
61,7338.0,0.0,0.110679567547924,Empleado,Universitario,Viudo,684.0,0.0,9746.0,Huesca,Bajo
25,9607.25,3.0,0.0825765264080078,Desempleado,Universitario,Soltero,699.0,1.0,9520.0,Segovia,Bajo
21,3277.5,3.0,0.6989321128909229,Autónomo,Universitario,Divorciado,769.0,0.0,27489.0,Ávila,Bajo
52,9299.5,2.0,0.082208720898973,Desempleado,Universitario,Divorciado,715.0,2.0,9174.0,Teruel,Bajo
34,5814.416666666667,2.0,0.3081994467774067,Empleado,Universitario,Viudo,793.0,2.0,21504.0,Palencia,Bajo
18,2276.083333333333,4.0,0.8933108776040714,Autónomo,Secundario,Divorciado,786.0,0.0,24399.0,Zamora,Bajo
46,7269.0,4.0,,Autónomo,Universitario,Viudo,602.0,4.0,27544.0,Melilla,Bajo
63,8487.0,0.0,0.0949196810808687,Empleado,Universitario,Divorciado,688.0,4.0,9667.0,Ceuta,Bajo
32,8579.083333333334,0.0,0.3764873869585911,Autónomo,Universitario,Viudo,637.0,0.0,38759.0,Madrid,Bajo
65,5814.416666666667,2.0,0.3893339830593496,Autónomo,Secundario,Divorciado,618.0,2.0,27165.0,Alicante,Bajo
36,3578.5,4.0,0.1244935028643286,Autónomo,Universitario,Soltero,699.0,0.0,5346.0,Málaga,Bajo
43,9267.083333333334,3.0,,Autónomo,Secundario,Divorciado,736.0,0.0,27544.0,Murcia,Bajo
54,9540.5,1.0,0.2825935048826931,Autónomo,Universitario,Casado,704.0,1.0,32353.0,Cádiz,Bajo
34,3505.333333333333,0.0,0.938617344998098,Empleado,Universitario,Soltero,760.0,3.0,39482.0,Vizcaya,Bajo
48,7665.166666666667,0.0,0.362907960253093,Desempleado,Universitario,Soltero,602.0,3.0,33381.0,Granada,Bajo
45,7153.25,0.0,0.3399037733431191,Autónomo,Universitario,Divorciado,686.0,4.0,29177.0,Tarragona,Bajo
20,9132.5,1.0,0.3782188155853636,Autónomo,Universitario,Soltero,625.0,4.0,41449.0,Córdoba,Bajo
47,8769.75,4.0,0.1350475593184906,Desempleado,Universitario,Viudo,699.0,1.0,14212.0,Toledo,Bajo
49,8826.333333333334,2.0,0.0597076928887042,Desempleado,Universitario,Casado,750.0,1.0,6324.0,Navarra,Alto
50,2489.9166666666665,0.0,1.1624552361190132,Empleado,Universitario,Soltero,699.0,1.0,34733.0,Huelva,Bajo
62,6237.5,0.0,0.2314495657982632,Autónomo,Universitario,Soltero,650.0,0.0,17324.0,Islas Baleares,Bajo
40,7514.916666666667,3.0,0.3639982701072312,Autónomo,Universitario,Soltero,693.0,4.0,32825.0,Santa Cruz de Tenerife,Bajo
53,9792.25,0.0,0.3875854204430374,Autónomo,Secundario,Viudo,685.0,0.0,45544.0,Álava,Bajo
31,2833.5,3.0,0.6946061996353156,Desempleado,Secundario,Casado,738.0,2.0,23618.0,León,Bajo
33,6194.416666666667,0.0,0.63670240673725,Desempleado,Universitario,Casado,693.0,1.0,47328.0,Ciudad Real,Bajo
47,4501.833333333333,1.0,0.1748361778534671,Empleado,Universitario,Casado,775.0,0.0,9445.0,Cáceres,Bajo
33,5930.916666666667,3.0,,Empleado,Secundario,Divorciado,642.0,1.0,27544.0,Salamanca,Alto
55,8190.25,4.0,0.4374815583569895,Desempleado,Secundario,Divorciado,650.0,0.0,42997.0,Asturias,Bajo
38,7077.833333333333,2.0,,Empleado,Universitario,Divorciado,720.0,3.0,27544.0,Albacete,Bajo
54,5191.333333333333,0.0,0.3816938487222293,Autónomo,Universitario,Soltero,744.0,1.0,23778.0,Huesca,Alto
52,3938.3333333333335,1.0,0.504803216250529,Empleado,Universitario,Viudo,608.0,4.0,23857.0,Ávila,Bajo
33,5461.5,3.0,,Empleado,Universitario,Divorciado,646.0,3.0,27544.0,Teruel,Bajo
30,9493.75,0.0,0.429396532806671,Desempleado,Universitario,Viudo,611.0,3.0,48919.0,Palencia,Bajo
25,6830.916666666667,4.0,0.5961864561857242,Empleado,Universitario,Divorciado,646.0,0.0,48870.0,Zamora,Alto
42,3981.1666666666665,0.0,,Desempleado,Universitario,Viudo,699.0,1.0,27544.0,Melilla,Alto
30,9541.583333333334,3.0,0.3544485104673403,Autónomo,Universitario,Viudo,779.0,2.0,40584.0,Ceuta,Bajo
19,6955.916666666667,4.0,0.1055456386050245,Autónomo,Universitario,Soltero,793.0,1.0,8810.0,Madrid,Bajo
46,4673.333333333333,0.0,,Empleado,Universitario,Viudo,702.0,3.0,27544.0,Barcelona,Bajo
44,1776.6666666666667,3.0,1.6200750469043153,Desempleado,Secundario,Viudo,733.0,0.0,34540.0,Valencia,Bajo
54,4546.666666666667,0.0,0.5649926686217008,Empleado,Universitario,Divorciado,760.0,2.0,30826.0,Sevilla,Bajo
19,9615.083333333334,1.0,0.3550844593130585,Autónomo,Universitario,Divorciado,727.0,0.0,40970.0,Alicante,Bajo
43,6806.916666666667,3.0,0.1262931087251937,Empleado,Universitario,Divorciado,693.0,0.0,10316.0,Murcia,Bajo
34,6552.5,2.0,0.6200813938700241,Autónomo,Universitario,Casado,695.0,1.0,48757.0,A Coruña,Bajo
19,8834.083333333334,0.0,0.2108405890065937,Autónomo,Universitario,Viudo,681.0,4.0,22351.0,Zaragoza,Bajo
44,5814.416666666667,3.0,0.4327031946454932,Desempleado,Universitario,Soltero,791.0,4.0,30191.0,Córdoba,Bajo
28,5814.416666666667,1.0,0.4298510885299471,Autónomo,Secundario,Soltero,690.0,1.0,29992.0,Girona,Bajo
43,7359.083333333333,4.0,0.088869764123702,Autónomo,Universitario,Divorciado,724.0,0.0,7848.0,Toledo,Bajo
51,5188.5,0.0,0.1070797597250329,Desempleado,Secundario,Divorciado,606.0,1.0,6667.0,Badajoz,Bajo
35,3302.4166666666665,1.0,0.2406570945519695,Desempleado,Universitario,Soltero,622.0,4.0,9537.0,Jaén,Bajo
69,8222.666666666666,1.0,0.0529836225068915,Autónomo,Universitario,Soltero,792.0,0.0,5228.0,Castellón,Bajo
59,6924.5,1.0,,Desempleado,Secundario,Divorciado,699.0,2.0,27544.0,Huelva,Bajo
29,5661.666666666667,1.0,0.4567265234030026,Desempleado,Universitario,Soltero,618.0,2.0,31030.0,Islas Baleares,Bajo
38,5814.416666666667,2.0,0.0746563857079386,Empleado,Universitario,Divorciado,697.0,1.0,5209.0,Las Palmas,Bajo
66,5107.583333333333,1.0,0.1290238371049583,Desempleado,Secundario,Soltero,639.0,3.0,7908.0,Santa Cruz de Tenerife,Bajo
43,8380.166666666666,4.0,,Autónomo,Universitario,Casado,785.0,2.0,27544.0,León,Bajo
33,9588.833333333334,0.0,0.272530547685676,Autónomo,Universitario,Casado,799.0,4.0,31359.0,Lugo,Bajo
43,2203.4166666666665,0.0,1.8886955863999093,Desempleado,Universitario,Divorciado,699.0,0.0,49939.0,Cáceres,Bajo
28,8192.583333333334,0.0,0.3536023435831188,Empleado,Universitario,Divorciado,689.0,3.0,34763.0,Ourense,Bajo
67,5262.333333333333,0.0,0.2645214416925318,Autónomo,Universitario,Viudo,660.0,4.0,16704.0,Guadalajara,Bajo
27,9536.333333333334,0.0,0.3426893634870145,Empleado,Universitario,Casado,775.0,2.0,39216.0,Burgos,Bajo
28,7891.083333333333,2.0,0.2210089446949616,Desempleado,Universitario,Soltero,718.0,4.0,20928.0,Salamanca,Bajo
68,9773.666666666666,0.0,0.3770164728351693,Autónomo,Secundario,Viudo,716.0,0.0,44218.0,Asturias,Alto
27,7347.75,0.0,0.1678518367300647,Autónomo,Secundario,Soltero,746.0,1.0,14800.0,Albacete,Bajo
34,5900.583333333333,3.0,0.558871298035505,Empleado,Secundario,Casado,745.0,4.0,39572.0,Huesca,Bajo
53,2456.25,4.0,,Empleado,Universitario,Casado,725.0,0.0,27544.0,Ávila,Bajo
38,8276.166666666666,4.0,0.1727651690597499,Autónomo,Secundario,Divorciado,656.0,2.0,17158.0,Soria,Bajo
40,8730.5,1.0,0.3417902754710498,Empleado,Secundario,Viudo,688.0,4.0,35808.0,Zamora,Alto
25,7969.166666666667,0.0,0.4953257346021123,Desempleado,Universitario,Casado,699.0,1.0,47368.0,Ceuta,Alto
52,7483.833333333333,3.0,0.3178184085695833,Autónomo,Universitario,Viudo,699.0,2.0,28542.0,Madrid,Bajo
31,5276.833333333333,3.0,0.1275070275733552,Empleado,Secundario,Viudo,773.0,1.0,8074.0,Valencia,Alto
43,2901.75,0.0,0.6573332184601246,Desempleado,Universitario,Soltero,775.0,3.0,22889.0,Alicante,Alto
66,5814.416666666667,1.0,0.0772075158012411,Autónomo,Universitario,Divorciado,687.0,1.0,5387.0,Cádiz,Bajo
18,5958.333333333333,4.0,0.620979020979021,Autónomo,Universitario,Viudo,734.0,0.0,44400.0,Zaragoza,Bajo
53,7389.083333333333,0.0,0.1970023345250313,Autónomo,Universitario,Divorciado,720.0,4.0,17468.0,Pontevedra,Bajo
39,8240.5,1.0,0.3044010274457456,Empleado,Secundario,Viudo,695.0,0.0,30101.0,Granada,Bajo
41,7487.666666666667,1.0,0.3051907581356007,Autónomo,Secundario,Casado,676.0,4.0,27422.0,Girona,Bajo
62,7282.0,3.0,0.0835049894717568,Autónomo,Universitario,Divorciado,606.0,0.0,7297.0,Almería,Bajo
32,6530.0,3.0,0.608014293006636,Desempleado,Universitario,Casado,608.0,4.0,47644.0,Toledo,Bajo
58,5346.083333333333,0.0,0.1902015494209156,Empleado,Universitario,Viudo,658.0,0.0,12202.0,Navarra,Bajo
30,4588.25,4.0,0.1346373889827276,Empleado,Universitario,Casado,756.0,0.0,7413.0,Jaén,Bajo
69,5814.416666666667,0.0,0.1286170868387485,Empleado,Universitario,Viudo,771.0,2.0,8974.0,Huelva,Bajo
43,8679.666666666666,0.0,0.297563270478897,Desempleado,Universitario,Casado,699.0,4.0,30993.0,Valladolid,Bajo
54,5814.416666666667,2.0,0.3216000458630129,Empleado,Universitario,Divorciado,642.0,2.0,22439.0,Islas Baleares,Bajo
67,5814.416666666667,0.0,0.2895532655898413,Empleado,Universitario,Soltero,672.0,0.0,20203.0,Las Palmas,Bajo
32,9881.666666666666,3.0,0.1106088716478326,Autónomo,Secundario,Viudo,636.0,0.0,13116.0,Álava,Bajo
20,3496.75,0.0,0.735587807726222,Empleado,Secundario,Casado,612.0,2.0,30866.0,León,Bajo
47,8388.666666666666,0.0,0.128536517523643,Desempleado,Universitario,Casado,725.0,1.0,12939.0,Lugo,Bajo
36,3704.0,2.0,0.6968817494600432,Autónomo,Universitario,Divorciado,631.0,3.0,30975.0,Cáceres,Alto
61,2209.833333333333,1.0,0.797986273474621,Empleado,Universitario,Viudo,759.0,0.0,21161.0,Ourense,Bajo
68,9493.583333333334,2.0,0.3919577258323604,Empleado,Secundario,Soltero,601.0,2.0,44653.0,Burgos,Alto
59,9822.416666666666,1.0,,Empleado,Universitario,Divorciado,745.0,0.0,27544.0,Asturias,Bajo
29,4898.75,0.0,0.3302543165773581,Empleado,Universitario,Casado,644.0,1.0,19414.0,La Rioja,Bajo
28,6997.416666666667,0.0,0.5279567459419547,Empleado,Universitario,Soltero,671.0,2.0,44332.0,Albacete,Bajo
66,9259.083333333334,0.0,0.1506088615683698,Desempleado,Universitario,Divorciado,664.0,2.0,16734.0,Huesca,Alto
49,2042.25,2.0,,Autónomo,Universitario,Casado,676.0,1.0,27544.0,Segovia,Bajo
36,4379.0,1.0,0.1609576006698637,Empleado,Universitario,Viudo,766.0,3.0,8458.0,Ávila,Bajo
40,4023.9166666666665,1.0,0.5365626359061445,Desempleado,Universitario,Viudo,610.0,0.0,25909.0,Teruel,Bajo
45,5814.416666666667,0.0,0.6195233113095323,Desempleado,Secundario,Divorciado,798.0,2.0,43226.0,Soria,Bajo
64,7789.25,2.0,0.2462047052026831,Empleado,Universitario,Casado,784.0,0.0,23013.0,Palencia,Bajo
56,3050.0,4.0,0.73,Desempleado,Secundario,Divorciado,724.0,4.0,26718.0,Zamora,Bajo
55,7592.833333333333,0.0,,Autónomo,Universitario,Viudo,699.0,1.0,27544.0,Ceuta,Alto
